                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                0.70321,                0.53229,                 1.0403,                 1.0048,                      1,                0.97852,                  0.995,                0.73396,                      1,                0.97852,                  0.995,                0.72786,                 0.9706,                0.90892,                 1.4211,                 1.5009,              0.0012049,              0.0012049,              0.0012049
                     45,                0.72976,                0.64858,                0.93509,                0.98672,                      1,                0.97852,                  0.995,                0.73396,                      1,                0.97852,                  0.995,                0.72786,                 0.9706,                0.90892,                 1.4211,                 1.5009,              0.0011939,              0.0011939,              0.0011939
                     46,                0.69852,                0.62314,                0.94288,                0.98516,                0.99225,                      1,                  0.995,                0.74709,                0.99225,                      1,                  0.995,                0.76007,                0.95348,                0.97003,                 1.1853,                 1.4614,              0.0011829,              0.0011829,              0.0011829
                     47,                0.66463,                0.61346,                0.92209,                 1.0051,                0.99685,                      1,                  0.995,                 0.7628,                0.99685,                      1,                  0.995,                 0.7942,                0.92413,                0.90539,                 1.3228,                 1.4916,              0.0011719,              0.0011719,              0.0011719
                     48,                0.74379,                 0.6843,                0.96145,                 1.0012,                      1,                0.98031,                  0.995,                0.71605,                      1,                0.98031,                  0.995,                0.73756,                 1.0776,                  1.121,                 1.3758,                 1.6165,              0.0011609,              0.0011609,              0.0011609
                     49,                0.72922,                0.58877,                 0.9714,                0.98727,                      1,                0.98031,                  0.995,                0.71605,                      1,                0.98031,                  0.995,                0.73756,                 1.0776,                  1.121,                 1.3758,                 1.6165,              0.0011499,              0.0011499,              0.0011499
                     50,                0.83602,                0.64224,                 1.0037,                 1.0505,                0.98786,                      1,                  0.995,                0.75661,                0.98786,                      1,                  0.995,                0.69046,                 1.0678,                 1.4876,                 1.4172,                 1.5597,              0.0011389,              0.0011389,              0.0011389
                     51,                0.71662,                0.67012,                0.95822,                 1.0244,                      1,                0.98932,                  0.995,                0.76828,                      1,                0.98932,                  0.995,                0.70114,                0.88709,                 1.5921,                 1.4026,                 1.3209,              0.0011279,              0.0011279,              0.0011279
                     52,                0.77474,                0.71973,                0.93222,                 1.0059,                0.97434,                      1,                  0.995,                0.73739,                0.97434,                      1,                  0.995,                0.71487,                0.88748,                 1.4675,                  1.271,                  1.248,              0.0011169,              0.0011169,              0.0011169
                     53,                0.67885,                0.54752,                0.88999,                0.99853,                0.97434,                      1,                  0.995,                0.73739,                0.97434,                      1,                  0.995,                0.71487,                0.88748,                 1.4675,                  1.271,                  1.248,              0.0011059,              0.0011059,              0.0011059
                     54,                0.73047,                0.61546,                0.95976,                 1.0174,                0.99116,                0.88889,                  0.984,                0.71167,                0.99116,                0.88889,                  0.984,                0.68911,                 1.1163,                 1.1681,                 1.5412,                 1.3481,              0.0010949,              0.0010949,              0.0010949
                     55,                0.80806,                0.62902,                0.96509,                 1.0425,                0.87701,                      1,                  0.962,                 0.7911,                0.87701,                      1,                  0.962,                0.76089,                0.87402,                 1.0266,                 1.3344,                 1.2026,              0.0010839,              0.0010839,              0.0010839
                     56,                0.73987,                0.68175,                0.98089,                 1.0395,                0.89965,                0.99646,                   0.94,                0.75841,                0.89965,                0.99646,                   0.94,                0.75645,                0.67132,                0.96253,                 1.2596,                 1.1214,              0.0010729,              0.0010729,              0.0010729
                     57,                0.64792,                0.59842,                0.81116,                0.96821,                0.89965,                0.99646,                   0.94,                0.75841,                0.89965,                0.99646,                   0.94,                0.75645,                0.67132,                0.96253,                 1.2596,                 1.1214,              0.0010619,              0.0010619,              0.0010619
                     58,                0.69757,                0.59999,                0.88875,                 1.0072,                0.89754,                0.97542,                  0.973,                0.77656,                0.89754,                0.97542,                  0.973,                  0.772,                0.77331,                0.89782,                 1.2387,                 1.1171,              0.0010509,              0.0010509,              0.0010509
                     59,                0.64104,                 0.5517,                0.85348,                0.95143,                0.98856,                      1,                  0.995,                0.76237,                0.98856,                      1,                  0.995,                0.73598,                 0.9071,                0.86439,                 1.1956,                 1.1715,              0.0010399,              0.0010399,              0.0010399
                     60,                0.66566,                0.55956,                0.90914,                0.98187,                0.98793,                      1,                  0.995,                0.81692,                0.98793,                      1,                  0.995,                0.85032,                0.74234,                0.88664,                 1.3195,                 1.1419,              0.0010289,              0.0010289,              0.0010289
                     61,                0.59079,                0.48381,                0.85371,                0.96972,                0.98793,                      1,                  0.995,                0.81692,                0.98793,                      1,                  0.995,                0.85032,                0.74234,                0.88664,                 1.3195,                 1.1419,              0.0010179,              0.0010179,              0.0010179
                     62,                0.57079,                0.44297,                 0.8213,                0.95028,                0.93251,                0.77778,                0.93915,                0.76452,                0.89826,                0.98259,                  0.984,                0.84953,                0.73965,                 1.0083,                 1.4746,                 1.1558,              0.0010069,              0.0010069,              0.0010069
